parametros_usados,input_dim,units,epoca,acuracia,matriz de confusao
"['age', 'sex', 'cp', 'trestbps', 'chol', 'fbs', 'restecg', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'thal']",13,1,50,51.64835453033447,"[[ 0 44]
 [ 0 47]]"
"['age', 'sex', 'cp', 'trestbps', 'chol', 'fbs', 'restecg', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'thal']",13,1,100,51.64835453033447,"[[ 0 44]
 [ 0 47]]"
"['age', 'sex', 'cp', 'trestbps', 'chol', 'fbs', 'restecg', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'thal']",13,1,200,51.64835453033447,"[[ 0 44]
 [ 0 47]]"
"['age', 'sex', 'cp', 'trestbps', 'chol', 'fbs', 'restecg', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'thal']",13,2,50,51.64835453033447,"[[ 0 44]
 [ 0 47]]"
"['age', 'sex', 'cp', 'trestbps', 'chol', 'fbs', 'restecg', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'thal']",13,2,100,51.64835453033447,"[[ 0 44]
 [ 0 47]]"
"['age', 'sex', 'cp', 'trestbps', 'chol', 'fbs', 'restecg', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'thal']",13,2,200,73.62637519836426,"[[33 11]
 [13 34]]"
"['age', 'sex', 'cp', 'trestbps', 'chol', 'fbs', 'restecg', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'thal']",13,5,50,75.82417726516724,"[[28 16]
 [ 6 41]]"
"['age', 'sex', 'cp', 'trestbps', 'chol', 'fbs', 'restecg', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'thal']",13,5,100,73.62637519836426,"[[39  5]
 [19 28]]"
"['age', 'sex', 'cp', 'trestbps', 'chol', 'fbs', 'restecg', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'thal']",13,5,200,51.64835453033447,"[[ 0 44]
 [ 0 47]]"
"['age', 'sex', 'cp', 'trestbps', 'chol', 'fbs', 'restecg', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'thal']",13,10,50,78.02197933197021,"[[34 10]
 [10 37]]"
